motion_coherence,reaction_time,correct,prior_std,raw_response_time
0.06,1.42322599999898,0,40,262.089586000002
0.06,0.845274999999674,1,20,350.602651000001
0.06,2.39912400000321,1,40,534.098824000001
0.06,2.09207500000048,1,20,325.282514
0.24,1.05990400000155,0,80,472.050005000001
0.12,1.48606100000143,1,10,93.5854590000017
0.06,1.67204599999968,0,80,368.825922
0.12,0.954422000009799,1,20,192.598541999992
0.06,2.10522299999138,1,10,272.053197999994
0.06,1.37966100001358,0,10,73.7547930000001
0.06,1.36017700000048,0,80,233.457966
0.06,1.91982800001279,1,80,381.468082000007
0.06,2.15047500000219,1,80,639.236210999981
0.24,0.862384000007296,0,40,106.265706000006
0.06,1.04808600000979,1,40,455.370791000008
0.12,1.43187500000022,0,80,197.298971
0.06,1.11555800000497,1,40,265.355007000006
0.12,1.01465000000098,0,20,97.2503620000007
0.06,1.17596800000138,1,80,182.018788000001
0.12,1.31086299999151,1,10,329.146861999994
0.12,1.3181250000016,0,80,324.673951000001
0.12,1.95662300000004,0,20,178.686023
0.12,1.7275410000002,0,80,585.207144
0.06,1.35791099999915,0,80,378.017215
0.06,1.62577300000703,1,40,293.907116000002
0.06,2.15777499999967,1,80,273.492069
0.06,1.47724600002402,0,10,194.674658000004
0.06,1.39304700000139,0,80,645.953313999998
0.24,1.3495640000001,0,80,6.2349520000007
0.06,1.05806900000061,0,20,118.998337000001
0.12,0.723738000000594,0,20,272.190612000006
0.06,1.15498099999968,0,10,18.4771739999996
0.06,1.64798000000155,1,10,470.057541000002
0.06,0.824303000001237,1,80,185.561260999999
0.06,1.51498900000115,0,80,268.239003000001
0.06,1.83444400000189,0,40,55.7409910000006
0.06,2.41734499999438,0,10,186.250853999984
0.06,1.85430000000633,1,10,410.850709999999
0.12,0.81401200000073,0,80,194.782981
0.12,1.52958800000488,1,80,623.082326000003
0.24,0.988934999999401,1,20,200.570551000001
0.12,0.913034999999581,0,10,546.041558000001
0.12,1.37753100000009,0,80,619.767076
0.24,0.852837000000363,0,80,637.471093
0.12,1.96130400000038,0,80,686.218966
0.06,1.49925000000803,0,10,481.925495000003
0.24,0.943708000006154,0,10,253.541448999997
0.12,1.10119700001087,0,80,265.108088000008
0.12,1.8027200000015,1,10,149.657609000002
0.06,2.40111100000104,1,10,143.161563000001
0.12,1.65039699999943,0,80,615.681814
0.12,1.83887499999946,0,80,532.211105
0.12,1.4828350000007,1,20,485.334241
0.06,1.19517799999994,1,80,520.107019000001
0.12,2.18501500000093,0,20,549.458518000001
0.12,1.46632599999975,0,20,604.822346999999
0.06,1.27387800000179,1,80,729.378092000001
0.12,1.90576800000053,1,20,152.350205000001
0.06,1.60006099999919,0,80,381.442048999999
0.12,1.75412900000811,0,80,246.524142999988
0.24,1.23099100000036,0,80,260.305176999998
0.06,1.23534300000756,1,10,533.053264000002
0.06,0.729208999999173,1,20,80.7144900000003
0.06,1.18623699999989,1,80,248.913791999999
0.06,1.42689700000119,0,80,470.865319
0.06,1.49634900000092,1,80,609.943082
0.06,1.28177800000412,0,80,126.138223000002
0.06,2.08924800000023,0,20,125.510201999999
0.06,1.15624600000046,1,80,13.8868289999991
0.24,1.48987299999862,0,10,361.213524999999
0.06,1.83200600001146,1,10,490.930659000005
0.12,1.31773400001111,0,10,493.770695999992
0.06,1.07438100001309,1,20,445.174628000008
0.06,1.60922099999152,1,20,349.614679999999
0.06,1.20219100000031,0,80,79.6811339999986
0.06,1.51375200002803,1,80,625.412121000001
0.12,1.2663440000033,0,80,643.034378000011
0.06,1.6580699999995,1,80,498.247074999999
0.12,2.52265699999953,0,80,626.342930999999
0.12,1.66364600000088,1,20,560.794613000002
0.06,1.85381000000052,1,10,251.077447999996
0.12,1.26657700000214,1,10,603.490870999987
0.06,1.39122400002088,1,20,85.2706440000038
0.12,1.73829100001603,0,80,140.580279999995
0.06,1.56943000000319,1,10,606.579005999985
0.24,1.33370500000092,0,80,522.545266000001
0.24,1.03813300000184,0,80,665.801291
0.12,2.07103800002369,1,80,172.908127000002
0.06,0.634902999998303,0,10,338.925474999996
0.06,2.42289200000232,0,80,159.323879999982
0.06,1.93494700000156,0,80,142.935030000001
0.06,2.29768999999942,1,20,444.710335
0.12,1.4432369999995,1,10,129.545511
0.12,1.9292650000134,0,20,547.694764000014
0.24,1.17440200000055,0,80,606.450129999999
0.12,1.68223499998567,1,10,536.282734999986
0.12,1.2871800000139,1,40,224.537806000008
0.12,1.40916300000026,1,80,569.575083
0.24,1.24209100000007,0,80,632.759178
0.06,1.3240480000004,0,80,337.097932000001
0.06,0.956829000002472,0,80,128.618352000005
0.06,1.64693500001158,0,80,59.6583020000107
0.06,1.51905200000328,1,40,181.833584000007
0.06,1.66007800000079,1,20,183.810506000002
0.06,0.699834000000919,1,80,616.863160000001
0.06,1.17631299999994,1,10,368.601356000001
0.06,1.22383000000264,1,80,189.900158999983
0.06,1.4945519999892,1,80,493.220097999991
0.12,1.30654700000196,1,20,517.502356000001
0.06,1.29075000000012,1,40,68.409811000005
0.12,1.05321300000651,0,80,175.484128999989
0.12,1.54296200000135,1,20,426.858696000001
0.06,1.79757100000279,1,80,477.780185999989
0.06,1.46241100000043,1,40,65.1251420000008
0.06,1.29476400000021,1,80,144.162963000001
0.06,1.44261400000141,1,20,151.482547000001
0.06,1.19399400000111,1,40,418.201757000003
0.06,0.765665000000809,1,80,525.449966
0.06,2.20783200000005,0,80,71.9218860000001
0.12,1.8160420000022,0,20,168.066369000002
0.06,1.81466000000364,1,80,487.770365000004
0.24,1.53995600000053,0,10,466.897559000001
0.12,1.30610900000102,1,80,684.801851
0.12,1.4015800000052,1,40,443.794802000004
0.24,0.713441000001694,0,80,11.4587660000016
0.06,2.06392600000072,1,40,423.765187999999
0.12,0.986904999997932,1,10,176.394804999989
0.06,1.31396800001676,0,80,340.362312000012
0.06,1.16543900000033,1,80,688.907021000001
0.12,1.58896300000197,1,40,352.81882700001
0.12,1.38590500000282,0,10,393.850714
0.12,1.66455200000019,1,10,146.337514000001
0.12,1.98571600000105,0,80,457.345870000001
0.06,1.26405599999998,0,10,574.141313
0.06,3.22852000000057,1,40,414.53318
0.06,1.34847300000547,0,80,564.042395000011
0.12,1.16864600000554,0,40,337.105703000008
0.06,1.82197700000324,1,80,353.465325000001
0.06,1.62606899999082,0,10,588.506729999994
0.06,1.25629200000003,0,80,229.986981
0.06,2.49350300000515,0,80,573.922401000003
0.12,1.84080099999846,1,10,646.045492999998
0.06,0.889251999993576,1,40,204.483017999999
0.06,1.63209199999983,1,40,251.106991000008
0.12,1.75530600000639,0,40,71.6895650000079
0.12,1.82477300000028,1,40,191.193754000007
0.12,1.1564870000002,1,20,53.150708000001
0.06,1.18236099999922,1,40,470.649908000007
